mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_n_estimators,param_num_leaves,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
15.669340085983276,0.05370545203924846,1.9383483409881592,0.05697755916711307,0.06643907805165022,3,113064,197,435,"OrderedDict([('learning_rate', 0.06643907805165022), ('max_depth', 3), ('min_data_in_leaf', 113064), ('n_estimators', 197), ('num_leaves', 435)])",0.8052154299392377,0.8054958068997841,0.8049099445941648,0.8046358447297501,0.8058615646322556,0.8052237181590385,0.0004301158261910951,32,0.890734830710874,0.8913842137148341,0.8907742529774756,0.8909324873144046,0.8911652636482028,0.8909982096731582,0.00024525523787412377,33,0.7412484428773515,0.7415001160753857,0.7408580356388819,0.7406623006232175,0.7429783987411187,0.741449458791191,0.0008185389734201266,32,0.7611312553183417,0.76171119168794,0.7607464377272998,0.7600756623162641,0.7600364221719972,0.7607401938443685,0.0006376051432348562,22,0.7510582824136594,0.75146978223963,0.7506705280525405,0.7502434170402628,0.7514106129535262,0.7509705245399237,0.0004624544767674352,31
27.079612302780152,0.30268347501752696,3.4660394191741943,0.24775149057841886,0.0893406313849554,4,52897,293,502,"OrderedDict([('learning_rate', 0.0893406313849554), ('max_depth', 4), ('min_data_in_leaf', 52897), ('n_estimators', 293), ('num_leaves', 502)])",0.8094671163857318,0.8104170502669859,0.8097433086155237,0.8100383321337106,0.8107095853550856,0.8100750785514075,0.00044734396668167655,4,0.8956029155734267,0.8963836734753174,0.8957355878552439,0.8960435948902721,0.8961258141706921,0.8959783171929905,0.00027934715290814333,6,0.7511692668293785,0.7525090627453933,0.7510139920168247,0.7521687654719621,0.7530352606879924,0.7519792695503101,0.0007771192883092139,6,0.7573210191704199,0.7583128729614153,0.7587031105185281,0.7575337120062438,0.7583941724524804,0.7580529774218175,0.0005314192765586079,39,0.7542325993139316,0.755399820208461,0.7548389705981478,0.754841706181614,0.7557052163135027,0.7550036625231314,0.0005093153034661524,4
21.201424026489256,0.200688887368319,2.4752575397491454,0.1132943868510222,0.06805780428903004,4,33919,215,266,"OrderedDict([('learning_rate', 0.06805780428903004), ('max_depth', 4), ('min_data_in_leaf', 33919), ('n_estimators', 215), ('num_leaves', 266)])",0.8089984265412363,0.8093604057514939,0.8091365226561323,0.8097202925963743,0.8101299989328914,0.8094691292956255,0.0004108140089568579,9,0.8949904137276679,0.895658666239372,0.8950392421775271,0.895113664445559,0.8953908558437544,0.8952385684867761,0.00025162922817941044,9,0.7509935486650368,0.7517046955265555,0.7519173850109102,0.7529248934927878,0.7524461365313057,0.7519973318453193,0.0006574807130901367,5,0.7558576283312467,0.7558359484669626,0.7545459965420617,0.7548020639118935,0.7573318591025621,0.7556746992709453,0.0009839822530818168,50,0.7534177379315561,0.7537646613696557,0.753229397458684,0.7538623101324066,0.75488109258679,0.7538310398958185,0.0005728501943916389,12
16.54963836669922,1.3428647674618663,1.2056677341461182,0.09011317769846694,0.08780627736380686,2,81060,270,383,"OrderedDict([('learning_rate', 0.08780627736380686), ('max_depth', 2), ('min_data_in_leaf', 81060), ('n_estimators', 270), ('num_leaves', 383)])",0.8037926214827338,0.8042215563850622,0.8037633283674528,0.8034829514069065,0.8041667451305324,0.8038854405545376,0.00027482008525245776,34,0.8904298782616927,0.8910630078693672,0.8905642304974817,0.8906460690932649,0.8908763761077442,0.8907159123659103,0.00022624096962428836,36,0.736658145964839,0.7374467973992741,0.73697519383085,0.7367873480590772,0.7374458682240599,0.73706267069562,0.00032908621488567243,34,0.7653534088876603,0.7653534088876603,0.7645404139770086,0.7638262585093006,0.7651366102448198,0.7648420201012899,0.0005886523932305775,10,0.7507316723065023,0.7511409938615062,0.7505047791075984,0.7500632020416256,0.7510360861215001,0.7506953466877465,0.00038780076637252674,33
19.56406807899475,0.036201358905891885,2.7144587516784666,0.0659365784156275,0.08702811428778609,3,74233,257,516,"OrderedDict([('learning_rate', 0.08702811428778609), ('max_depth', 3), ('min_data_in_leaf', 74233), ('n_estimators', 257), ('num_leaves', 516)])",0.8072994258549405,0.8080945246982809,0.8075860799116185,0.8076781439882158,0.8086527858857105,0.8078621920677532,0.0004702838429779622,17,0.8934227456597671,0.8942004234305432,0.8935791590092214,0.8935844671104853,0.8939181425295751,0.8937409875479183,0.00028086660193557143,19,0.7458495626077517,0.7472579011885093,0.7460163863826077,0.7469777317783635,0.747109404460307,0.7466421972835079,0.0005881949089921228,19,0.7597112242077365,0.759922602884506,0.7604916993219623,0.7588724363699432,0.7624157872771716,0.7602827500122639,0.0011864939996559102,26,0.7527165814168916,0.7535370418640648,0.7531844996859786,0.7528781059616181,0.7546849935351649,0.7534002444927436,0.0007008371125187913,18
17.775149011611937,0.267950581437986,1.8516881465911865,0.08489551795848357,0.08316382491216304,4,39534,178,480,"OrderedDict([('learning_rate', 0.08316382491216304), ('max_depth', 4), ('min_data_in_leaf', 39534), ('n_estimators', 178), ('num_leaves', 480)])",0.8088080212919101,0.8099609146147537,0.8097328467886377,0.8094189919820559,0.8100818744285215,0.8096005298211759,0.00045609283404423944,7,0.8948022131938496,0.8955549950752494,0.8950688680990467,0.8950972359551274,0.8952516428319395,0.8951549910310425,0.0002467994394736463,10,0.7512260918827052,0.7526429912187965,0.7526092708080235,0.7514778563814323,0.7524290669366827,0.752077055445528,0.000601768574306025,4,0.7546543958634819,0.7562858056508567,0.7554728107402048,0.7565201838442527,0.7571801000525736,0.756022659230274,0.0008753198318605988,48,0.752936341415933,0.7544600012435827,0.7540383221353067,0.7539905900401355,0.7547971072828503,0.7540444724235617,0.0006276972039195195,10
26.651269483566285,0.2588296853379372,3.33388147354126,0.1992251303584621,0.07668835127314028,4,58213,281,407,"OrderedDict([('learning_rate', 0.07668835127314028), ('max_depth', 4), ('min_data_in_leaf', 58213), ('n_estimators', 281), ('num_leaves', 407)])",0.8091260608292462,0.8099839306339031,0.8097851559230679,0.8096805376542073,0.8102911114040429,0.8097733592888934,0.00038474871185910115,5,0.895182500677781,0.8959018831369413,0.8953873662888725,0.8956443423920617,0.8956764874683047,0.8955585159927922,0.00024894343686951225,7,0.7507405635271791,0.7516505594980365,0.7515102330380944,0.7520029309871069,0.7516763042988488,0.7515161182698531,0.00042005723996567135,8,0.7568603220543839,0.7583562326899833,0.7578684357435922,0.7564822442873868,0.759494425564896,0.7578123320680484,0.0010773922787425708,41,0.7537880219157378,0.7549885067394753,0.7546759425421043,0.7542359371749251,0.7555651412010514,0.7546507099146589,0.0006110965499798107,6
26.14021453857422,0.22522624250618997,3.341088962554932,0.16327082057669245,0.07287031174021161,4,71351,276,313,"OrderedDict([('learning_rate', 0.07287031174021161), ('max_depth', 4), ('min_data_in_leaf', 71351), ('n_estimators', 276), ('num_leaves', 313)])",0.8087766358112519,0.8096324132505315,0.8086866641000318,0.809182554694431,0.8092114486103527,0.8090979432933197,0.0003400263972749904,12,0.8946617503930923,0.8953552730890773,0.8946907764194493,0.8949012509212119,0.8949808500694233,0.8949179801784508,0.00025009311543188156,11,0.7499946302382027,0.7513262207411787,0.7491046909377057,0.7503393950451006,0.7502762371670404,0.7502082348258456,0.0007120612138460064,11,0.7570066611383013,0.7576462171346807,0.7584592120453326,0.757891427828123,0.7581285941150009,0.7578264224522877,0.0004899874794528663,40,0.753484332305634,0.7544729839863126,0.7537529288195847,0.7540965041187494,0.7541819769933978,0.7539977452447357,0.0003444051224845117,11
17.012541723251342,1.1510095006393646,1.6734041213989257,0.46125430507958964,0.09696110102631643,3,107213,212,333,"OrderedDict([('learning_rate', 0.09696110102631643), ('max_depth', 3), ('min_data_in_leaf', 107213), ('n_estimators', 212), ('num_leaves', 333)])",0.8062909057431245,0.8070880969518421,0.806573375069048,0.8062344118779398,0.807100247527342,0.8066574074338593,0.0003746761207419039,26,0.8922544552149965,0.893003820435123,0.8923505153466244,0.892333238010762,0.8926190565107276,0.8925122171036467,0.00027484928945824624,27,0.7441696150617835,0.745055353492447,0.7443244247458797,0.7443238012187211,0.7443835543907024,0.7444513497819067,0.0003102159733730963,28,0.7592342671934874,0.7605296390844594,0.7600255822398552,0.7586935784590036,0.7619821899914907,0.7600930513936592,0.001136665327841765,28,0.7516264644887469,0.7527129745358574,0.752093065664069,0.7514399978527525,0.7530800711362516,0.7521905147355354,0.0006253318202013529,21
18.872032356262206,0.057143623903199034,2.1939227104187013,0.06184196525707915,0.0501259752935983,4,94752,188,403,"OrderedDict([('learning_rate', 0.0501259752935983), ('max_depth', 4), ('min_data_in_leaf', 94752), ('n_estimators', 188), ('num_leaves', 403)])",0.8059414807251302,0.8064854957232052,0.8055418389380827,0.8059958822249377,0.8063721028525277,0.8060673600927768,0.0003361049657101907,29,0.8913695335356235,0.8919594927002451,0.8912619733415055,0.8916073332422196,0.8917965875853127,0.8915989840809813,0.00025896220159240597,31,0.7444675941961026,0.7457259593558897,0.74423591921218,0.7441661257541738,0.7448103287634766,0.7446811854563646,0.000568753065291446,27,0.7572342997132838,0.7567681826311767,0.7561394665669393,0.7580811256124529,0.7582207335382081,0.7572887616124121,0.0007862900297907252,43,0.7507966789370449,0.7512064948969436,0.7501404732267439,0.7510591798269872,0.7514557057218366,0.7509317065219112,0.00044958110105708165,32
